Hostname,Date,Value
CRI-WIN-SERVER1,18/11/2016 02:00:00,45.52
CRI-WIN-SERVER1,18/11/2016 01:00:00,45.48
CRI-WIN-SERVER1,18/11/2016 00:00:00,45.44
CRI-WIN-SERVER1,17/11/2016 23:00:00,45.46
CRI-WIN-SERVER1,17/11/2016 22:00:00,45.46
CRI-WIN-SERVER1,17/11/2016 21:00:00,45.45
CRI-WIN-SERVER1,17/11/2016 20:00:00,45.47
CRI-WIN-SERVER1,17/11/2016 19:00:00,45.45
CRI-WIN-SERVER1,17/11/2016 18:00:00,45.46
CRI-WIN-SERVER1,17/11/2016 17:00:00,45.47
CRI-WIN-SERVER1,17/11/2016 16:00:00,45.44
CRI-WIN-SERVER1,17/11/2016 15:00:00,45.43
CRI-WIN-SERVER1,17/11/2016 14:00:00,45.44
CRI-WIN-SERVER1,17/11/2016 13:00:00,45.46
CRI-WIN-SERVER1,17/11/2016 12:00:00,45.47
CRI-WIN-SERVER1,17/11/2016 11:00:00,45.47
CRI-WIN-SERVER1,17/11/2016 10:00:00,45.47
CRI-WIN-SERVER1,17/11/2016 09:00:00,45.45
CRI-WIN-SERVER1,17/11/2016 08:00:00,45.44
CRI-WIN-SERVER1,17/11/2016 07:00:00,45.46
CRI-WIN-SERVER1,17/11/2016 06:00:00,45.46
CRI-WIN-SERVER1,17/11/2016 05:00:00,45.47
CRI-WIN-SERVER1,17/11/2016 04:00:00,45.46
CRI-WIN-SERVER1,17/11/2016 03:00:00,45.48
CRI-WIN-SERVER1,17/11/2016 02:00:00,45.52
CRI-WIN-SERVER1,17/11/2016 01:00:00,45.48
CRI-WIN-SERVER1,17/11/2016 00:00:00,45.44
CRI-WIN-SERVER1,16/11/2016 23:00:00,45.44
CRI-WIN-SERVER1,16/11/2016 22:00:00,45.45
CRI-WIN-SERVER1,16/11/2016 21:00:00,45.46
CRI-WIN-SERVER1,16/11/2016 20:00:00,45.46
CRI-WIN-SERVER1,16/11/2016 19:00:00,45.46
CRI-WIN-SERVER1,16/11/2016 18:00:00,45.49
CRI-WIN-SERVER1,16/11/2016 17:00:00,45.5
CRI-WIN-SERVER1,16/11/2016 16:00:00,45.47
CRI-WIN-SERVER1,16/11/2016 15:00:00,45.48
CRI-WIN-SERVER1,16/11/2016 14:00:00,45.47
CRI-WIN-SERVER1,16/11/2016 13:00:00,45.45
CRI-WIN-SERVER1,16/11/2016 12:00:00,45.44
CRI-WIN-SERVER1,16/11/2016 11:00:00,45.48
CRI-WIN-SERVER1,16/11/2016 10:00:00,45.51
CRI-WIN-SERVER1,16/11/2016 09:00:00,45.48
CRI-WIN-SERVER1,16/11/2016 08:00:00,45.43
CRI-WIN-SERVER1,16/11/2016 07:00:00,45.42
CRI-WIN-SERVER1,16/11/2016 06:00:00,45.42
CRI-WIN-SERVER1,16/11/2016 05:00:00,45.42
CRI-WIN-SERVER1,16/11/2016 04:00:00,45.43
CRI-WIN-SERVER1,16/11/2016 03:00:00,45.48
CRI-WIN-SERVER1,16/11/2016 02:00:00,45.5
CRI-WIN-SERVER1,16/11/2016 01:00:00,45.45
CRI-WIN-SERVER1,16/11/2016 00:00:00,45.41
CRI-WIN-SERVER1,15/11/2016 23:00:00,45.43
CRI-WIN-SERVER1,15/11/2016 22:00:00,45.43
CRI-WIN-SERVER1,15/11/2016 21:00:00,45.42
CRI-WIN-SERVER1,15/11/2016 20:00:00,45.44
CRI-WIN-SERVER1,15/11/2016 19:00:00,45.46
CRI-WIN-SERVER1,15/11/2016 18:00:00,45.44
CRI-WIN-SERVER1,15/11/2016 17:00:00,45.42
CRI-WIN-SERVER1,15/11/2016 16:00:00,45.41
CRI-WIN-SERVER1,15/11/2016 15:00:00,45.42
CRI-WIN-SERVER1,15/11/2016 14:00:00,45.42
CRI-WIN-SERVER1,15/11/2016 13:00:00,45.42
CRI-WIN-SERVER1,15/11/2016 12:00:00,45.42
CRI-WIN-SERVER1,15/11/2016 11:00:00,45.42
CRI-WIN-SERVER1,15/11/2016 10:00:00,45.45
CRI-WIN-SERVER1,15/11/2016 09:00:00,45.47
CRI-WIN-SERVER1,15/11/2016 08:00:00,45.43
CRI-WIN-SERVER1,15/11/2016 07:00:00,45.4
CRI-WIN-SERVER1,15/11/2016 06:00:00,45.41
CRI-WIN-SERVER1,15/11/2016 05:00:00,45.41
CRI-WIN-SERVER1,15/11/2016 04:00:00,45.4
CRI-WIN-SERVER1,15/11/2016 03:00:00,45.39
CRI-WIN-SERVER1,15/11/2016 02:00:00,45.42
CRI-WIN-SERVER1,15/11/2016 01:00:00,45.42
CRI-WIN-SERVER1,15/11/2016 00:00:00,45.4
CRI-WIN-SERVER1,14/11/2016 23:00:00,45.4
CRI-WIN-SERVER1,14/11/2016 22:00:00,45.4
CRI-WIN-SERVER1,14/11/2016 21:00:00,45.39
CRI-WIN-SERVER1,14/11/2016 20:00:00,45.39
CRI-WIN-SERVER1,14/11/2016 19:00:00,45.39
CRI-WIN-SERVER1,14/11/2016 18:00:00,45.41
CRI-WIN-SERVER1,14/11/2016 17:00:00,45.41
CRI-WIN-SERVER1,14/11/2016 16:00:00,45.42
CRI-WIN-SERVER1,14/11/2016 15:00:00,45.43
CRI-WIN-SERVER1,14/11/2016 14:00:00,45.39
CRI-WIN-SERVER1,14/11/2016 13:00:00,45.39
CRI-WIN-SERVER1,14/11/2016 12:00:00,45.41
CRI-WIN-SERVER1,14/11/2016 11:00:00,45.39
CRI-WIN-SERVER1,14/11/2016 10:00:00,45.42
CRI-WIN-SERVER1,14/11/2016 09:00:00,45.44
CRI-WIN-SERVER1,14/11/2016 08:00:00,45.4
CRI-WIN-SERVER1,14/11/2016 07:00:00,45.4
CRI-WIN-SERVER1,14/11/2016 06:00:00,45.4
CRI-WIN-SERVER1,14/11/2016 05:00:00,45.41
CRI-WIN-SERVER1,14/11/2016 04:00:00,45.43
CRI-WIN-SERVER1,14/11/2016 03:00:00,45.41
CRI-WIN-SERVER1,14/11/2016 02:00:00,45.42
CRI-WIN-SERVER1,14/11/2016 01:00:00,45.41
CRI-WIN-SERVER1,14/11/2016 00:00:00,45.38
CRI-WIN-SERVER1,13/11/2016 23:00:00,45.39
CRI-WIN-SERVER1,13/11/2016 22:00:00,45.41
CRI-WIN-SERVER1,13/11/2016 21:00:00,45.4
CRI-WIN-SERVER1,13/11/2016 20:00:00,45.4
CRI-WIN-SERVER1,13/11/2016 19:00:00,45.39
CRI-WIN-SERVER1,13/11/2016 18:00:00,45.37
CRI-WIN-SERVER1,13/11/2016 17:00:00,45.38
CRI-WIN-SERVER1,13/11/2016 16:00:00,45.4
CRI-WIN-SERVER1,13/11/2016 15:00:00,45.4
CRI-WIN-SERVER1,13/11/2016 14:00:00,45.4
CRI-WIN-SERVER1,13/11/2016 13:00:00,45.38
CRI-WIN-SERVER1,13/11/2016 12:00:00,45.36
CRI-WIN-SERVER1,13/11/2016 11:00:00,45.36
CRI-WIN-SERVER1,13/11/2016 10:00:00,45.37
CRI-WIN-SERVER1,13/11/2016 09:00:00,45.37
CRI-WIN-SERVER1,13/11/2016 08:00:00,45.38
CRI-WIN-SERVER1,13/11/2016 07:00:00,45.39
CRI-WIN-SERVER1,13/11/2016 06:00:00,45.37
CRI-WIN-SERVER1,13/11/2016 05:00:00,45.35
CRI-WIN-SERVER1,13/11/2016 04:00:00,45.35
CRI-WIN-SERVER1,13/11/2016 03:00:00,45.36
CRI-WIN-SERVER1,13/11/2016 02:00:00,45.38
CRI-WIN-SERVER1,13/11/2016 01:00:00,45.41
CRI-WIN-SERVER1,13/11/2016 00:00:00,45.39
CRI-WIN-SERVER1,12/11/2016 23:00:00,45.4
CRI-WIN-SERVER1,12/11/2016 22:00:00,45.42
CRI-WIN-SERVER1,12/11/2016 21:00:00,45.38
CRI-WIN-SERVER1,12/11/2016 20:00:00,45.36
CRI-WIN-SERVER1,12/11/2016 19:00:00,45.36
CRI-WIN-SERVER1,12/11/2016 18:00:00,45.39
CRI-WIN-SERVER1,12/11/2016 17:00:00,45.39
CRI-WIN-SERVER1,12/11/2016 16:00:00,45.36
CRI-WIN-SERVER1,12/11/2016 15:00:00,45.36
CRI-WIN-SERVER1,12/11/2016 14:00:00,45.36
CRI-WIN-SERVER1,12/11/2016 13:00:00,45.38
CRI-WIN-SERVER1,12/11/2016 12:00:00,45.37
CRI-WIN-SERVER1,12/11/2016 11:00:00,45.36
CRI-WIN-SERVER1,12/11/2016 10:00:00,45.38
CRI-WIN-SERVER1,12/11/2016 09:00:00,45.38
CRI-WIN-SERVER1,12/11/2016 08:00:00,45.38
CRI-WIN-SERVER1,12/11/2016 07:00:00,45.37
CRI-WIN-SERVER1,12/11/2016 06:00:00,45.35
CRI-WIN-SERVER1,12/11/2016 05:00:00,45.37
CRI-WIN-SERVER1,12/11/2016 04:00:00,45.37
CRI-WIN-SERVER1,12/11/2016 03:00:00,45.38
CRI-WIN-SERVER1,12/11/2016 02:00:00,45.42
CRI-WIN-SERVER1,12/11/2016 01:00:00,45.38
CRI-WIN-SERVER1,12/11/2016 00:00:00,45.34
CRI-WIN-SERVER1,11/11/2016 23:00:00,45.33
CRI-WIN-SERVER1,11/11/2016 22:00:00,45.32
CRI-WIN-SERVER1,11/11/2016 21:00:00,45.32
CRI-WIN-SERVER1,11/11/2016 20:00:00,45.32
CRI-WIN-SERVER1,11/11/2016 19:00:00,45.33
CRI-WIN-SERVER1,11/11/2016 18:00:00,45.32
CRI-WIN-SERVER1,11/11/2016 17:00:00,45.31
CRI-WIN-SERVER1,11/11/2016 16:00:00,45.12
CRI-WIN-SERVER1,11/11/2016 15:00:00,45.11
CRI-WIN-SERVER1,11/11/2016 14:00:00,45.31
CRI-WIN-SERVER1,11/11/2016 13:00:00,45.31
CRI-WIN-SERVER1,11/11/2016 12:00:00,45.31
CRI-WIN-SERVER1,11/11/2016 11:00:00,45.3
CRI-WIN-SERVER1,11/11/2016 10:00:00,45.29
CRI-WIN-SERVER1,11/11/2016 09:00:00,45.27
CRI-WIN-SERVER1,11/11/2016 08:00:00,45.26
CRI-WIN-SERVER1,11/11/2016 07:00:00,45.25
CRI-WIN-SERVER1,11/11/2016 06:00:00,45.24
CRI-WIN-SERVER1,11/11/2016 05:00:00,45.23
CRI-WIN-SERVER1,11/11/2016 04:00:00,45.23
CRI-WIN-SERVER1,11/11/2016 03:00:00,45.23
CRI-WIN-SERVER1,11/11/2016 02:00:00,45.29
CRI-WIN-SERVER1,11/11/2016 01:00:00,45.29
CRI-WIN-SERVER1,11/11/2016 00:00:00,45.27
CRI-WIN-SERVER1,10/11/2016 23:00:00,45.29
CRI-WIN-SERVER1,10/11/2016 22:00:00,45.25
CRI-WIN-SERVER1,10/11/2016 21:00:00,45.27
CRI-WIN-SERVER1,10/11/2016 20:00:00,45.12
CRI-WIN-SERVER1,10/11/2016 19:00:00,45.1
CRI-WIN-SERVER1,10/11/2016 18:00:00,45.27
CRI-WIN-SERVER1,10/11/2016 17:00:00,45.27
CRI-WIN-SERVER1,10/11/2016 16:00:00,45.27
CRI-WIN-SERVER1,10/11/2016 15:00:00,45.28
CRI-WIN-SERVER1,10/11/2016 14:00:00,45.28
CRI-WIN-SERVER1,10/11/2016 13:00:00,45.3
CRI-WIN-SERVER1,10/11/2016 12:00:00,45.32
CRI-WIN-SERVER1,10/11/2016 11:00:00,45.3
CRI-WIN-SERVER1,10/11/2016 10:00:00,45.28
CRI-WIN-SERVER1,10/11/2016 09:00:00,45.3
CRI-WIN-SERVER1,10/11/2016 08:00:00,45.3
CRI-WIN-SERVER1,10/11/2016 07:00:00,45.3
CRI-WIN-SERVER1,10/11/2016 06:00:00,45.3
CRI-WIN-SERVER1,10/11/2016 05:00:00,45.28
CRI-WIN-SERVER1,10/11/2016 04:00:00,45.3
CRI-WIN-SERVER1,10/11/2016 03:00:00,45.33
CRI-WIN-SERVER1,10/11/2016 02:00:00,45.33
CRI-WIN-SERVER1,10/11/2016 01:00:00,45.29
CRI-WIN-SERVER1,10/11/2016 00:00:00,45.27
CRI-WIN-SERVER1,09/11/2016 23:00:00,45.28
CRI-WIN-SERVER1,09/11/2016 22:00:00,45.32
CRI-WIN-SERVER1,09/11/2016 21:00:00,45.32
CRI-WIN-SERVER1,09/11/2016 20:00:00,45.29
CRI-WIN-SERVER1,09/11/2016 19:00:00,45.27
CRI-WIN-SERVER1,09/11/2016 18:00:00,45.26
CRI-WIN-SERVER1,09/11/2016 17:00:00,45.27
CRI-WIN-SERVER1,09/11/2016 16:00:00,45.27
CRI-WIN-SERVER1,09/11/2016 15:00:00,45.28
CRI-WIN-SERVER1,09/11/2016 14:00:00,45.28
CRI-WIN-SERVER1,09/11/2016 13:00:00,45.25
CRI-WIN-SERVER1,09/11/2016 12:00:00,45.25
CRI-WIN-SERVER1,09/11/2016 11:00:00,45.25
CRI-WIN-SERVER1,09/11/2016 10:00:00,45.29
CRI-WIN-SERVER1,09/11/2016 09:00:00,45.29
CRI-WIN-SERVER1,09/11/2016 08:00:00,45.29
CRI-WIN-SERVER1,09/11/2016 07:00:00,45.29
CRI-WIN-SERVER1,09/11/2016 06:00:00,45.28
CRI-WIN-SERVER1,09/11/2016 05:00:00,45.3
CRI-WIN-SERVER1,09/11/2016 04:00:00,45.3
CRI-WIN-SERVER1,09/11/2016 03:00:00,45.31
CRI-WIN-SERVER1,09/11/2016 02:00:00,45.32
CRI-WIN-SERVER1,09/11/2016 01:00:00,45.3
CRI-WIN-SERVER1,09/11/2016 00:00:00,45.28
CRI-WIN-SERVER1,08/11/2016 23:00:00,45.28
CRI-WIN-SERVER1,08/11/2016 22:00:00,45.29
CRI-WIN-SERVER1,08/11/2016 21:00:00,45.31
CRI-WIN-SERVER1,08/11/2016 20:00:00,45.29
CRI-WIN-SERVER1,08/11/2016 19:00:00,45.27
CRI-WIN-SERVER1,08/11/2016 18:00:00,45.31
CRI-WIN-SERVER1,08/11/2016 17:00:00,45.31
CRI-WIN-SERVER1,08/11/2016 16:00:00,45.28
CRI-WIN-SERVER1,08/11/2016 15:00:00,45.28
CRI-WIN-SERVER1,08/11/2016 14:00:00,45.29
CRI-WIN-SERVER1,08/11/2016 13:00:00,45.28
CRI-WIN-SERVER1,08/11/2016 12:00:00,45.28
CRI-WIN-SERVER1,08/11/2016 11:00:00,45.31
CRI-WIN-SERVER1,08/11/2016 10:00:00,45.33
CRI-WIN-SERVER1,08/11/2016 09:00:00,45.3
CRI-WIN-SERVER1,08/11/2016 08:00:00,45.27
CRI-WIN-SERVER1,08/11/2016 07:00:00,45.27
CRI-WIN-SERVER1,08/11/2016 06:00:00,45.28
CRI-WIN-SERVER1,08/11/2016 05:00:00,45.29
CRI-WIN-SERVER1,08/11/2016 04:00:00,45.28
CRI-WIN-SERVER1,08/11/2016 03:00:00,45.25
CRI-WIN-SERVER1,08/11/2016 02:00:00,45.26
CRI-WIN-SERVER1,08/11/2016 01:00:00,45.27
CRI-WIN-SERVER1,08/11/2016 00:00:00,45.27
CRI-WIN-SERVER1,07/11/2016 23:00:00,45.28
CRI-WIN-SERVER1,07/11/2016 22:00:00,45.28
CRI-WIN-SERVER1,07/11/2016 21:00:00,45.26
CRI-WIN-SERVER1,07/11/2016 20:00:00,45.28
CRI-WIN-SERVER1,07/11/2016 19:00:00,45.28
CRI-WIN-SERVER1,07/11/2016 18:00:00,45.29
CRI-WIN-SERVER1,07/11/2016 17:00:00,45.31
CRI-WIN-SERVER1,07/11/2016 16:00:00,45.27
CRI-WIN-SERVER1,07/11/2016 15:00:00,45.25
CRI-WIN-SERVER1,07/11/2016 14:00:00,45.26
CRI-WIN-SERVER1,07/11/2016 13:00:00,45.26
CRI-WIN-SERVER1,07/11/2016 12:00:00,45.27
CRI-WIN-SERVER1,07/11/2016 11:00:00,45.27
CRI-WIN-SERVER1,07/11/2016 10:00:00,45.29
CRI-WIN-SERVER1,07/11/2016 09:00:00,45.33
CRI-WIN-SERVER1,07/11/2016 08:00:00,45.36
CRI-WIN-SERVER1,07/11/2016 07:00:00,45.38
CRI-WIN-SERVER1,07/11/2016 06:00:00,45.35
CRI-WIN-SERVER1,07/11/2016 05:00:00,45.32
CRI-WIN-SERVER1,07/11/2016 04:00:00,45.32
CRI-WIN-SERVER1,07/11/2016 03:00:00,45.32
CRI-WIN-SERVER1,07/11/2016 02:00:00,45.36
CRI-WIN-SERVER1,07/11/2016 01:00:00,45.34
CRI-WIN-SERVER1,07/11/2016 00:00:00,45.3
CRI-WIN-SERVER1,06/11/2016 23:00:00,45.3
CRI-WIN-SERVER1,06/11/2016 22:00:00,45.3
CRI-WIN-SERVER1,06/11/2016 21:00:00,45.32
CRI-WIN-SERVER1,06/11/2016 20:00:00,45.33
CRI-WIN-SERVER1,06/11/2016 19:00:00,45.32
CRI-WIN-SERVER1,06/11/2016 18:00:00,45.32
CRI-WIN-SERVER1,06/11/2016 17:00:00,45.32
CRI-WIN-SERVER1,06/11/2016 16:00:00,45.32
CRI-WIN-SERVER1,06/11/2016 15:00:00,45.32
CRI-WIN-SERVER1,06/11/2016 14:00:00,45.31
CRI-WIN-SERVER1,06/11/2016 13:00:00,45.31
CRI-WIN-SERVER1,06/11/2016 12:00:00,45.3
CRI-WIN-SERVER1,06/11/2016 11:00:00,45.3
CRI-WIN-SERVER1,06/11/2016 10:00:00,45.3
CRI-WIN-SERVER1,06/11/2016 09:00:00,45.31
CRI-WIN-SERVER1,06/11/2016 08:00:00,45.31
CRI-WIN-SERVER1,06/11/2016 07:00:00,45.31
CRI-WIN-SERVER1,06/11/2016 06:00:00,45.32
CRI-WIN-SERVER1,06/11/2016 05:00:00,45.3
CRI-WIN-SERVER1,06/11/2016 04:00:00,45.29
CRI-WIN-SERVER1,06/11/2016 03:00:00,45.29
CRI-WIN-SERVER1,06/11/2016 02:00:00,45.29
CRI-WIN-SERVER1,06/11/2016 01:00:00,45.28
CRI-WIN-SERVER1,06/11/2016 00:00:00,45.28
CRI-WIN-SERVER1,05/11/2016 23:00:00,45.31
CRI-WIN-SERVER1,05/11/2016 22:00:00,45.3
CRI-WIN-SERVER1,05/11/2016 21:00:00,45.3
CRI-WIN-SERVER1,05/11/2016 20:00:00,45.34
CRI-WIN-SERVER1,05/11/2016 19:00:00,45.33
CRI-WIN-SERVER1,05/11/2016 18:00:00,45.31
CRI-WIN-SERVER1,05/11/2016 17:00:00,45.31
CRI-WIN-SERVER1,05/11/2016 16:00:00,45.3
CRI-WIN-SERVER1,05/11/2016 15:00:00,45.28
CRI-WIN-SERVER1,05/11/2016 14:00:00,45.27
CRI-WIN-SERVER1,05/11/2016 13:00:00,45.28
CRI-WIN-SERVER1,05/11/2016 12:00:00,45.29
CRI-WIN-SERVER1,05/11/2016 11:00:00,45.32
CRI-WIN-SERVER1,05/11/2016 10:00:00,45.36
CRI-WIN-SERVER1,05/11/2016 09:00:00,45.32
CRI-WIN-SERVER1,05/11/2016 08:00:00,45.3
CRI-WIN-SERVER1,05/11/2016 07:00:00,45.3
CRI-WIN-SERVER1,05/11/2016 06:00:00,45.31
CRI-WIN-SERVER1,05/11/2016 05:00:00,45.29
CRI-WIN-SERVER1,05/11/2016 04:00:00,45.27
CRI-WIN-SERVER1,05/11/2016 03:00:00,45.31
CRI-WIN-SERVER1,05/11/2016 02:00:00,45.36
CRI-WIN-SERVER1,05/11/2016 01:00:00,45.32
CRI-WIN-SERVER1,05/11/2016 00:00:00,45.27
CRI-WIN-SERVER1,04/11/2016 23:00:00,45.27
CRI-WIN-SERVER1,04/11/2016 22:00:00,45.27
CRI-WIN-SERVER1,04/11/2016 21:00:00,45.29
CRI-WIN-SERVER1,04/11/2016 20:00:00,45.28
CRI-WIN-SERVER1,04/11/2016 19:00:00,45.25
CRI-WIN-SERVER1,04/11/2016 18:00:00,45.3
CRI-WIN-SERVER1,04/11/2016 17:00:00,45.33
CRI-WIN-SERVER1,04/11/2016 16:00:00,45.29
CRI-WIN-SERVER1,04/11/2016 15:00:00,45.21
CRI-WIN-SERVER1,04/11/2016 14:00:00,45.17
CRI-WIN-SERVER1,04/11/2016 13:00:00,45.17
CRI-WIN-SERVER1,04/11/2016 12:00:00,45.17
CRI-WIN-SERVER1,04/11/2016 11:00:00,45.21
CRI-WIN-SERVER1,04/11/2016 10:00:00,45.22
CRI-WIN-SERVER1,04/11/2016 09:00:00,45.18
CRI-WIN-SERVER1,04/11/2016 08:00:00,45.15
CRI-WIN-SERVER1,04/11/2016 07:00:00,45.17
CRI-WIN-SERVER1,04/11/2016 06:00:00,45.19
CRI-WIN-SERVER1,04/11/2016 05:00:00,45.18
CRI-WIN-SERVER1,04/11/2016 04:00:00,45.18
CRI-WIN-SERVER1,04/11/2016 03:00:00,45.19
CRI-WIN-SERVER1,04/11/2016 02:00:00,45.17
CRI-WIN-SERVER1,04/11/2016 01:00:00,45.16
CRI-WIN-SERVER1,04/11/2016 00:00:00,45.16
CRI-WIN-SERVER1,03/11/2016 23:00:00,45.18
CRI-WIN-SERVER1,03/11/2016 22:00:00,45.18
CRI-WIN-SERVER1,03/11/2016 21:00:00,45.15
CRI-WIN-SERVER1,03/11/2016 20:00:00,45.17
CRI-WIN-SERVER1,03/11/2016 19:00:00,45.18
CRI-WIN-SERVER1,03/11/2016 18:00:00,45.16
CRI-WIN-SERVER1,03/11/2016 17:00:00,45.16
CRI-WIN-SERVER1,03/11/2016 16:00:00,45.16
CRI-WIN-SERVER1,03/11/2016 15:00:00,45.16
